"agency_name","agency_type","agency_abbreviation","agency_administration","agency_founded","agency_country","agency_spacecraft","agency_launchers","agency_description"
"China Aerospace Science and Technology Corporation","Government","CASC"," Chairman & President:  Lei Fanpei","1999","unknown",unknown,"Long March","The China Aerospace Science and Technology Corporation (CASC) is the main contractor for the Chinese space program. It is state-owned and has a number of subordinate entities which design, develop and manufacture a range of spacecraft, launch vehicles, strategic and tactical missile systems, and ground equipment. It was officially established in July 1999 as part of a Chinese government reform drive, having previously been one part of the former China Aerospace Corporation. Various incarnations of the program date back to 1956."
"SpaceX","Commercial","SpX"," CEO:  Elon Musk","2002","USA","Dragon","Falcon | Starship","none"
"China Aerospace Science and Technology Corporation","Government","CASC"," Chairman & President:  Lei Fanpei","1999",unknown,"unknown","Long March","The China Aerospace Science and Technology Corporation (CASC) is the main contractor for the Chinese space program. It is state-owned and has a number of subordinate entities which design, develop and manufacture a range of spacecraft, launch vehicles, strategic and tactical missile systems, and ground equipment. It was officially established in July 1999 as part of a Chinese government reform drive, having previously been one part of the former China Aerospace Corporation. Various incarnations of the program date back to 1956."
"SpaceX","Commercial","SpX"," CEO:  Elon Musk","2002","USA","Dragon","Falcon | Starship","none"
"China Aerospace Science and Technology Corporation","Government","CASC"," Chairman & President:  Lei Fanpei","1999","unknown","unknown","Long March","The China Aerospace Science and Technology Corporation (CASC) is the main contractor for the Chinese space program. It is state-owned and has a number of subordinate entities which design, develop and manufacture a range of spacecraft, launch vehicles, strategic and tactical missile systems, and ground equipment. It was officially established in July 1999 as part of a Chinese government reform drive, having previously been one part of the former China Aerospace Corporation. Various incarnations of the program date back to 1956."
"Arianespace","Commercial","ASA"," CEO:  Stéphane Israël","1980","unknown","unknown","Ariane | Vega","Arianespace SA is a multinational company founded in 1980 as the world’s first commercial launch service provider. It undertakes the production, operation, and marketing of the Ariane programme. Their vehicles launch exclusively from French Guiana in South America."
"Rocket Lab Ltd","Commercial","RL"," CEO:  Peter Beck","2006","unknown","unknown","Electron","Rocket Lab is an American aerospace manufacturer with a wholly owned New Zealand subsidiary. The company develops lightweight, cost-effective commercial rocket launch services. The Electron Program was founded on the premise that small payloads such as CubeSats require dedicated small launch vehicles and flexibility not currently offered by traditional rocket systems. Its rocket, the Electron, is a light-weight rocket and is now operating commercially. Electron currently launches from only Mahia Peninsula in New Zealand however a second launch complex in the US is under development."
"LandSpace","Commercial","LS","unknown","unknown","unknown","unknown","unknown","LandSpace is a Chinese private space launch company based in Beijing. It was founded in 2015 by Tsinghua University alumni Zhang Changwu."
"SpaceX","Commercial","SpX"," CEO:  Elon Musk","2002","USA","Dragon","Falcon | Starship","none"
"Arianespace","Commercial","ASA"," CEO:  Stéphane Israël","1980","unknown","unknown","Ariane | Vega","Arianespace SA is a multinational company founded in 1980 as the world’s first commercial launch service provider. It undertakes the production, operation, and marketing of the Ariane programme. Their vehicles launch exclusively from French Guiana in South America."
"SpaceX","Commercial","SpX"," CEO:  Elon Musk","2002","USA","Dragon","Falcon | Starship","none"
"SpaceX","Commercial","SpX"," CEO:  Elon Musk","2002","USA","Dragon","Falcon | Starship","none"
"ABL Space Systems","Commercial","ABL"," CEO:  Harry O’Hanley","2017","unknown","unknown","RS1","ABL Space Systems is an American company based in El Segundo, California, specialized in launch vehicle and launch systems technology manufacturing using CNC and 3D printing."
"SpaceX","Commercial","SpX"," CEO:  Elon Musk","2002","USA","Dragon","Falcon | Starship","none"
"SpaceX","Commercial","SpX"," CEO:  Elon Musk","2002","USA","Dragon","Falcon | Starship","none"
